Clock frequency is approx. 4584.9 MHz
Memory mountain (MB/sec)
x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	
128m	30717	17884	12514	10550	8577	7203	6256	5566	5093	4696	4331	4110	3904	3755	3643	3525	3153	3117	3089	3076	3080	3075	3013	3155	3007	3224	3140	3027	2996	2998	2928	2907	
64m	35037	20165	14319	10952	8908	7432	6431	5856	5389	5005	4659	4351	4133	3962	3834	3740	3651	3736	3682	3534	3785	3999	4094	3199	4288	4051	4377	4594	4817	4752	5113	3124	
32m	36144	21027	14847	11373	9239	7846	6911	6152	6068	5715	5412	5091	4881	4775	4719	4288	5410	5381	6646	7232	7890	8495	9204	9767	10424	10826	11432	11991	12113	12344	12904	3671	
16m	38859	23769	19633	16077	13406	11644	10145	9170	8836	8511	8330	8382	8371	8164	8480	6579	13939	14034	14691	14968	15092	15263	14931	14950	15105	15357	15307	15337	15341	15435	15318	5022	
8m	61216	42286	33678	28096	24251	20719	19457	17171	16728	16346	15878	15369	15340	15158	15074	12458	14520	14984	14933	14974	14900	14921	14949	14920	15228	15211	15197	15201	15186	15181	15145	9906	
4m	72741	51997	42805	34740	29085	25009	21941	19483	18649	17897	17217	16552	16002	15584	15333	13305	14661	14310	13894	13634	13366	13079	15035	12702	15042	12613	15015	15033	15054	12431	15041	10439	
2m	71309	52011	42731	34738	29004	25090	21907	19443	18672	17891	17183	16506	15998	15536	15301	13309	14673	14274	15031	13678	13312	13062	12924	12733	12588	12563	12501	15010	12537	12417	15140	10470	
1024k	71372	52341	43118	34661	29031	25040	22010	19533	18623	17876	17261	16506	16029	15623	15319	13270	14746	14289	14003	13764	15974	13321	13120	13058	13139	18022	13170	13259	13782	13590	20331	10585	
512k	71953	52803	44059	36011	30157	26175	22823	20223	19524	18924	18407	18056	17886	17848	18210	13947	17835	18299	18131	19354	19251	18339	18831	28665	20642	20063	33981	37131	23388	22369	35965	11507	
256k	77652	58606	52193	45103	38671	33963	29861	27070	26257	26094	25141	25734	26205	27410	27879	18979	29556	29259	29395	32518	30028	30794	33156	31494	35609	34291	33929	34394	36740	36093	34128	16738	
128k	83188	65894	63754	60143	53134	47968	42795	38681	37343	38770	38095	37482	37642	38393	36355	30192	36746	40317	38013	38717	37950	38252	39344	38759	44840	39712	61140	40802	46665	74190	85774	24973	
64k	84308	67614	65979	61674	54731	48150	42753	36751	36684	35598	37109	37259	37278	42248	71541	30487	88374	86026	84113	88353	88302	103438	103669	96283	84627	83724	83041	95791	86310	74727	103111	23242	
32k	104622	103185	100960	97811	96297	92734	92508	87756	88771	90482	103438	85731	94704	92488	94466	83838	102733	86922	84089	91586	81278	81273	81611	78230	71502	80236	61794	74504	83489	92717	96925	53351	
16k	103469	100966	97047	95815	91586	99339	90921	93898	92717	96283	89828	86922	87530	81278	89405	67070	95984	77264	65870	69537	68773	71066	81611	50434	60062	53490	46307	60958	51718	69537	55019	32604	
